company,event_count,is_repeated,first_layoff_date,last_layoff_date,timespan_days,mean_inter_event_days,min_inter_event_days,total_laid_off,mean_laid_off,max_laid_off,mean_percentage,median_percentage,max_percentage,industry,industry_group,stage,stage_group,country,region,funds_raised,funds_raised_log,total_laid_off_log,max_laid_off_log,cluster,Theoretical_Archetype
#Paid,1,False,2023-01-27,2023-01-27,0,,,19.0,19.0,19.0,0.17,0.17,0.17,Marketing,Marketing & Media,Series B,Expansion Stage (Series B),Canada,North America,21.0,3.091042453358316,2.995732273553991,2.995732273553991,1,Severe Single-Wave Resets (Deep Structural Cuts)
&Open,1,False,2022-11-17,2022-11-17,0,,,9.0,9.0,9.0,0.09,0.09,0.09,Marketing,Marketing & Media,Series A,Early Venture (Series A),Ireland,Europe,35.0,3.58351893845611,2.302585092994046,2.302585092994046,1,Severe Single-Wave Resets (Deep Structural Cuts)
10X Genomics,1,False,2022-08-04,2022-08-04,0,,,100.0,100.0,100.0,0.08,0.08,0.08,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,242.0,5.493061443340548,4.61512051684126,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
1K Kirana,1,False,2023-04-04,2023-04-04,0,,,600.0,600.0,600.0,0.4,0.4,0.4,Retail,Consumer & Retail,Series B,Expansion Stage (Series B),India,Asia-Pacific,,5.159055299214529,6.398594934535208,6.398594934535208,1,Severe Single-Wave Resets (Deep Structural Cuts)
1stdibs,1,False,2020-04-02,2020-04-02,0,,,70.0,70.0,70.0,0.17,0.17,0.17,Retail,Consumer & Retail,Series D,Late Stage (Series C-D),United States,North America,253.0,5.537334267018537,4.2626798770413155,4.2626798770413155,1,Severe Single-Wave Resets (Deep Structural Cuts)
23andMe,3,True,2023-06-09,2024-11-11,521,260.5,60.0,346.0,115.33333333333333,200.0,0.20000000000000004,0.11,0.4,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,1100.0,7.00397413672268,5.849324779946859,5.303304908059076,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
2TM,2,True,2022-06-01,2022-09-01,92,92.0,92.0,190.0,95.0,100.0,0.135,0.135,0.15,Crypto,Fintech & Financial Services,Unknown,Unspecified / Private,Brazil,Latin America,250.0,5.5254529391317835,5.25227342804663,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
54gene,1,False,2022-08-29,2022-08-29,0,,,95.0,95.0,95.0,0.3,0.3,0.3,Healthcare,Healthcare & BioTech,Series B,Expansion Stage (Series B),United States,North America,44.0,3.8066624897703196,4.564348191467836,4.564348191467836,1,Severe Single-Wave Resets (Deep Structural Cuts)
6sense,1,False,2022-10-12,2022-10-12,0,,,150.0,150.0,150.0,0.1,0.1,0.1,Sales,Professional Services,Series E,Growth Stage (Series E+),United States,North America,426.0,6.056784013228625,5.017279836814924,5.017279836814924,1,Severe Single-Wave Resets (Deep Structural Cuts)
7Shifts,1,False,2024-01-11,2024-01-11,0,,,68.0,68.0,68.0,0.19,0.19,0.19,Food,Consumer & Retail,Series C,Late Stage (Series C-D),Canada,North America,131.0,4.882801922586371,4.23410650459726,4.23410650459726,1,Severe Single-Wave Resets (Deep Structural Cuts)
7shifts,1,False,2023-09-15,2023-09-15,0,,,30.0,30.0,30.0,0.07,0.07,0.07,Food,Consumer & Retail,Series C,Late Stage (Series C-D),Canada,North America,131.0,4.882801922586371,3.4339872044851463,3.4339872044851463,1,Severe Single-Wave Resets (Deep Structural Cuts)
8x8,2,True,2022-10-04,2023-01-18,106,106.0,106.0,355.0,177.5,200.0,0.08,0.08,0.09,Support,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,253.0,5.537334267018537,5.87493073085203,5.303304908059076,1,Severe Single-Wave Resets (Deep Structural Cuts)
91Trucks,1,False,2026-06-22,2026-06-22,0,,,100.0,100.0,100.0,0.7,0.7,0.7,Transportation,Travel & Transportation,Series A,Early Venture (Series A),India,Asia-Pacific,5.0,1.791759469228055,4.61512051684126,4.61512051684126,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
99,1,False,2022-09-20,2022-09-20,0,,,75.0,75.0,75.0,0.02,0.02,0.02,Transportation,Travel & Transportation,Acquired,Acquired / Subsidiary,Brazil,Latin America,244.0,5.501258210544727,4.330733340286331,4.330733340286331,1,Severe Single-Wave Resets (Deep Structural Cuts)
AEye,1,False,2023-03-28,2023-03-28,0,,,46.0,46.0,46.0,0.33,0.33,0.33,Transportation,Travel & Transportation,Post-IPO,Public (Post-IPO),United States,North America,314.0,5.752572638825633,3.8501476017100584,3.8501476017100584,1,Severe Single-Wave Resets (Deep Structural Cuts)
AI21 Labs,1,False,2026-05-18,2026-05-18,0,,,110.0,110.0,110.0,0.61,0.61,0.61,AI,Other / Diversified,Series D,Late Stage (Series C-D),Israel,Middle East,626.0,6.440946540632921,4.709530201312334,4.709530201312334,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
AMD,1,False,2024-11-13,2024-11-13,0,,,1000.0,1000.0,1000.0,0.04,0.04,0.04,Hardware,Hardware & Manufacturing,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,6.90875477931522,6.90875477931522,1,Severe Single-Wave Resets (Deep Structural Cuts)
AU10TIX,1,False,2023-01-31,2023-01-31,0,,,19.0,19.0,19.0,0.09,0.09,0.09,Security,Enterprise & Infrastructure,Unknown,Unspecified / Private,Israel,Middle East,80.0,4.394449154672439,2.995732273553991,2.995732273553991,1,Severe Single-Wave Resets (Deep Structural Cuts)
Abra,1,False,2022-06-30,2022-06-30,0,,,12.0,12.0,12.0,0.05,0.05,0.05,Crypto,Fintech & Financial Services,Series C,Late Stage (Series C-D),United States,North America,106.0,4.672828834461906,2.5649493574615367,2.5649493574615367,1,Severe Single-Wave Resets (Deep Structural Cuts)
Absci,2,True,2022-08-09,2023-09-05,392,392.0,392.0,70.0,35.0,40.0,0.15,0.15,0.15,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,238.0,5.476463551931511,4.2626798770413155,3.713572066704308,1,Severe Single-Wave Resets (Deep Structural Cuts)
Absolute Software,1,False,2023-04-06,2023-04-06,0,,,40.0,40.0,40.0,0.05,0.05,0.05,Security,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),Canada,North America,,5.159055299214529,3.713572066704308,3.713572066704308,1,Severe Single-Wave Resets (Deep Structural Cuts)
Acast,1,False,2022-09-15,2022-09-15,0,,,70.0,70.0,70.0,0.15,0.15,0.15,Media,Marketing & Media,Post-IPO,Public (Post-IPO),Sweden,Europe,126.0,4.844187086458591,4.2626798770413155,4.2626798770413155,1,Severe Single-Wave Resets (Deep Structural Cuts)
Acko,2,True,2020-04-01,2026-04-20,2210,2210.0,2210.0,105.0,52.5,60.0,0.07,0.07,0.09,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,India,Asia-Pacific,143.0,4.969813299576001,4.663439094112067,4.110873864173311,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
ActiveFence,1,False,2025-03-13,2025-03-13,0,,,22.0,22.0,22.0,0.07,0.07,0.07,Security,Enterprise & Infrastructure,Series B,Expansion Stage (Series B),United States,North America,100.0,4.61512051684126,3.1354942159291497,3.1354942159291497,1,Severe Single-Wave Resets (Deep Structural Cuts)
Acxiom,2,True,2023-04-11,2025-03-19,708,708.0,708.0,130.0,130.0,130.0,0.03,0.03,0.03,Marketing,Marketing & Media,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,4.875197323201151,4.875197323201151,1,Severe Single-Wave Resets (Deep Structural Cuts)
AdRoll,1,False,2020-03-31,2020-03-31,0,,,210.0,210.0,210.0,0.3,0.3,0.3,Marketing,Marketing & Media,Series C,Late Stage (Series C-D),United States,North America,89.0,4.499809670330265,5.351858133476067,5.351858133476067,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ada,2,True,2022-09-20,2023-02-01,134,134.0,134.0,78.0,78.0,78.0,0.16,0.16,0.16,Support,Enterprise & Infrastructure,Series C,Late Stage (Series C-D),Canada,North America,190.0,5.25227342804663,4.3694478524670215,4.3694478524670215,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ada Support,1,False,2020-04-24,2020-04-24,0,,,36.0,36.0,36.0,0.23,0.23,0.23,Support,Enterprise & Infrastructure,Series B,Expansion Stage (Series B),Canada,North America,60.0,4.110873864173311,3.6109179126442243,3.6109179126442243,1,Severe Single-Wave Resets (Deep Structural Cuts)
Adaptive Biotechnologies,1,False,2022-03-08,2022-03-08,0,,,100.0,100.0,100.0,0.12,0.12,0.12,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,406.0,6.008813185442595,4.61512051684126,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
