company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,industry_group,stage_group,year,quarter,month,month_name,year_month,day_of_week,macro_regime,region,laid_off_log,funding_log,severity_magnitude,severity_intensity,prev_event_date,days_since_prior_layoff,event_sequence_number,company_total_events,is_repeated_restructurer,wrri_intensity_comp,wrri_magnitude_comp,wrri_recurrence_comp,wrri_velocity_comp,wrri_score,wrri_category
#Paid,"Toronto, Non-U.S.",19.0,2023-01-27,0.17,Marketing,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,Series B,21.0,Canada,2023-01-28,Marketing & Media,Expansion Stage (Series B),2023,1,1,January,2023-01,Friday,Phase 3: Rate Hikes & Tech Contraction,North America,2.995732273553991,3.091042453358316,Low (<= 40),Substantial (10% - 20%),,,1,1,False,8.5,8.1,5.0,5.0,26.6,Lower Risk Exposure
&Open,"Dublin, Non-U.S.",9.0,2022-11-17,0.09,Marketing,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,Series A,35.0,Ireland,2022-12-01,Marketing & Media,Early Venture (Series A),2022,4,11,November,2022-11,Thursday,Phase 3: Rate Hikes & Tech Contraction,Europe,2.302585092994046,3.58351893845611,Low (<= 40),Targeted (< 10%),,,1,1,False,4.5,6.2,5.0,5.0,20.7,Lower Risk Exposure
0G,SF Bay Area,,2026-05-05,0.25,Crypto,https://www.businessinsider.com/0g-labs-layoffs-ai-integration-2026-5,Unknown,,United States,2026-05-07,Fintech & Financial Services,Unspecified / Private,2026,2,5,May,2026-05,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,,Unreported,Severe (20% - 40%),,,1,1,False,12.5,12.2,5.0,5.0,34.7,Lower Risk Exposure
100 Thieves,Los Angeles,12.0,2022-07-13,,Consumer,https://www.dexerto.com/esports/100-thieves-layoffs-social-content-teams-1870915/,Series C,120.0,United States,2022-07-18,Consumer & Retail,Late Stage (Series C-D),2022,3,7,July,2022-07,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,2.5649493574615367,4.795790545596741,Low (<= 40),Unreported,,,1,2,True,8.5,7.0,15.0,5.0,35.5,Moderate Risk Exposure
100 Thieves,Los Angeles,,2023-01-10,,Retail,https://www.dexerto.com/esports/100-thieves-hit-with-another-round-of-layoffs-as-org-drops-multiple-key-staff-2029435/,Series C,120.0,United States,2023-01-12,Consumer & Retail,Late Stage (Series C-D),2023,1,1,January,2023-01,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,,4.795790545596741,Unreported,Unreported,2022-07-13,181.0,2,2,True,8.5,12.2,15.0,12.0,47.7,Moderate Risk Exposure
10X Genomics,SF Bay Area,100.0,2022-08-04,0.08,Healthcare,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,Post-IPO,242.0,United States,2022-08-04,Healthcare & BioTech,Public (Post-IPO),2022,3,8,August,2022-08,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,4.61512051684126,5.493061443340548,Moderate (41 - 200),Targeted (< 10%),,,1,1,False,4.0,12.5,5.0,5.0,26.5,Lower Risk Exposure
123Milhas,"Belo Horizonte, Non-U.S.",,2023-08-29,,Travel,https://economia.uol.com.br/noticias/redacao/2023/08/28/123milhas-demissao-funcionarios.htm,Unknown,,Brazil,2023-10-06,Travel & Transportation,Unspecified / Private,2023,3,8,August,2023-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Latin America,,,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
1K Kirana,"Gurugram, Non-U.S.",600.0,2023-04-04,0.4,Retail,https://www.moneycontrol.com/news/business/startup/info-edge-ventures-backed-1k-kirana-lays-off-40-workforce-to-restructure-business-10359421.html,Series B,,India,2023-04-04,Consumer & Retail,Expansion Stage (Series B),2023,2,4,April,2023-04,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Asia-Pacific,6.398594934535208,,Mega-Event (> 500),Severe (20% - 40%),,,1,1,False,20.0,17.4,5.0,5.0,47.4,Moderate Risk Exposure
1stdibs,New York City,70.0,2020-04-02,0.17,Retail,https://twitter.com/eringriffith/status/1246147841350762497,Series D,253.0,United States,2020-04-08,Consumer & Retail,Late Stage (Series C-D),2020,2,4,April,2020-04,Thursday,Phase 1: COVID Shock & Virtualization,North America,4.2626798770413155,5.537334267018537,Moderate (41 - 200),Substantial (10% - 20%),,,1,1,False,8.5,11.6,5.0,5.0,30.1,Lower Risk Exposure
23andMe,SF Bay Area,75.0,2023-06-09,0.09,Healthcare,https://www.genomeweb.com/business-news/23andme-laying-9-percent-workforce-cut-operating-costs,Post-IPO,1100.0,United States,2023-06-09,Healthcare & BioTech,Public (Post-IPO),2023,2,6,June,2023-06,Friday,Phase 3: Rate Hikes & Tech Contraction,North America,4.330733340286331,7.00397413672268,Moderate (41 - 200),Targeted (< 10%),,,1,3,True,4.5,11.8,25.0,5.0,46.3,Moderate Risk Exposure
23andMe,SF Bay Area,71.0,2023-08-08,0.11,Healthcare,https://www.streetinsider.com/Corporate+News/23andMe+Holding+%28ME%29+Announces+11%25+Workforce+Cut/22014370.html,Post-IPO,1100.0,United States,2023-08-08,Healthcare & BioTech,Public (Post-IPO),2023,3,8,August,2023-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,North America,4.276666119016055,7.00397413672268,Moderate (41 - 200),Substantial (10% - 20%),2023-06-09,60.0,2,3,True,5.5,11.6,25.0,25.0,67.1,Elevated Risk Exposure
23andMe,SF Bay Area,200.0,2024-11-11,0.4,Healthcare,https://www.wsj.com/tech/biotech/23andme-to-cut-workforce-by-40-discontinues-therapeutics-pipeline-8c818729,Post-IPO,1100.0,United States,2024-11-12,Healthcare & BioTech,Public (Post-IPO),2024,4,11,November,2024-11,Monday,Phase 4: AI Pivot & Structural Realignment,North America,5.303304908059076,7.00397413672268,Moderate (41 - 200),Severe (20% - 40%),2023-08-08,461.0,3,3,True,20.0,14.4,25.0,7.0,66.4,Elevated Risk Exposure
2TM,"Sao Paulo, Non-U.S.",90.0,2022-06-01,0.12,Crypto,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",Unknown,250.0,Brazil,2022-06-02,Fintech & Financial Services,Unspecified / Private,2022,2,6,June,2022-06,Wednesday,Phase 2: Tech Overhiring & Peak Valuation,Latin America,4.51085950651685,5.5254529391317835,Moderate (41 - 200),Substantial (10% - 20%),,,1,2,True,6.0,12.2,15.0,5.0,38.2,Moderate Risk Exposure
2TM,"Sao Paulo, Non-U.S.",100.0,2022-09-01,0.15,Crypto,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,Unknown,250.0,Brazil,2022-09-02,Fintech & Financial Services,Unspecified / Private,2022,3,9,September,2022-09,Thursday,Phase 3: Rate Hikes & Tech Contraction,Latin America,4.61512051684126,5.5254529391317835,Moderate (41 - 200),Substantial (10% - 20%),2022-06-01,92.0,2,2,True,7.5,12.5,15.0,20.0,55.0,Elevated Risk Exposure
