company,event_count,is_repeated,first_layoff_date,last_layoff_date,timespan_days,mean_inter_event_days,min_inter_event_days,total_laid_off,mean_laid_off,max_laid_off,mean_percentage,median_percentage,max_percentage,industry,industry_group,stage,stage_group,country,region,funds_raised,funds_raised_log,total_laid_off_log
#Paid,1,False,2023-01-27,2023-01-27,0,,,19.0,19.0,19.0,0.17,0.17,0.17,Marketing,Marketing & Media,Series B,Expansion Stage (Series B),Canada,North America,21.0,3.091042453358316,2.995732273553991
&Open,1,False,2022-11-17,2022-11-17,0,,,9.0,9.0,9.0,0.09,0.09,0.09,Marketing,Marketing & Media,Series A,Early Venture (Series A),Ireland,Europe,35.0,3.58351893845611,2.302585092994046
0G,1,False,2026-05-05,2026-05-05,0,,,,,,0.25,0.25,0.25,Crypto,Fintech & Financial Services,Unknown,Unspecified / Private,United States,North America,,,
100 Thieves,2,True,2022-07-13,2023-01-10,181,181.0,181.0,12.0,12.0,12.0,,,,Retail,Consumer & Retail,Series C,Late Stage (Series C-D),United States,North America,120.0,4.795790545596741,2.5649493574615367
10X Genomics,1,False,2022-08-04,2022-08-04,0,,,100.0,100.0,100.0,0.08,0.08,0.08,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,242.0,5.493061443340548,4.61512051684126
123Milhas,1,False,2023-08-29,2023-08-29,0,,,,,,,,,Travel,Travel & Transportation,Unknown,Unspecified / Private,Brazil,Latin America,,,
1K Kirana,1,False,2023-04-04,2023-04-04,0,,,600.0,600.0,600.0,0.4,0.4,0.4,Retail,Consumer & Retail,Series B,Expansion Stage (Series B),India,Asia-Pacific,,,6.398594934535208
1stdibs,1,False,2020-04-02,2020-04-02,0,,,70.0,70.0,70.0,0.17,0.17,0.17,Retail,Consumer & Retail,Series D,Late Stage (Series C-D),United States,North America,253.0,5.537334267018537,4.2626798770413155
23andMe,3,True,2023-06-09,2024-11-11,521,260.5,60.0,346.0,115.33333333333333,200.0,0.20000000000000004,0.11,0.4,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,1100.0,7.00397413672268,5.849324779946859
2TM,2,True,2022-06-01,2022-09-01,92,92.0,92.0,190.0,95.0,100.0,0.135,0.135,0.15,Crypto,Fintech & Financial Services,Unknown,Unspecified / Private,Brazil,Latin America,250.0,5.5254529391317835,5.25227342804663
2U,5,True,2022-07-28,2025-03-31,977,244.25,116.0,,,,0.2,0.2,0.2,Education,EdTech & Learning,Post-IPO,Public (Post-IPO),United States,North America,426.0,6.056784013228625,
54gene,1,False,2022-08-29,2022-08-29,0,,,95.0,95.0,95.0,0.3,0.3,0.3,Healthcare,Healthcare & BioTech,Series B,Expansion Stage (Series B),United States,North America,44.0,3.8066624897703196,4.564348191467836
5B Solar,1,False,2022-06-03,2022-06-03,0,,,,,,0.25,0.25,0.25,Energy,Other / Diversified,Series A,Early Venture (Series A),Australia,Asia-Pacific,12.0,2.5649493574615367,
6sense,1,False,2022-10-12,2022-10-12,0,,,150.0,150.0,150.0,0.1,0.1,0.1,Sales,Professional Services,Series E,Growth Stage (Series E+),United States,North America,426.0,6.056784013228625,5.017279836814924
7Shifts,1,False,2024-01-11,2024-01-11,0,,,68.0,68.0,68.0,0.19,0.19,0.19,Food,Consumer & Retail,Series C,Late Stage (Series C-D),Canada,North America,131.0,4.882801922586371,4.23410650459726
7shifts,1,False,2023-09-15,2023-09-15,0,,,30.0,30.0,30.0,0.07,0.07,0.07,Food,Consumer & Retail,Series C,Late Stage (Series C-D),Canada,North America,131.0,4.882801922586371,3.4339872044851463
80 Acres Farms,2,True,2023-01-18,2026-08-04,1294,1294.0,1294.0,,,,0.55,0.55,1.0,Food,Consumer & Retail,Unknown,Unspecified / Private,United States,North America,275.0,5.62040086571715,
888,1,False,2024-01-11,2024-01-11,0,,,,,,,,,Consumer,Consumer & Retail,Post-IPO,Public (Post-IPO),Israel,Middle East,,,
8x8,2,True,2022-10-04,2023-01-18,106,106.0,106.0,355.0,177.5,200.0,0.08,0.08,0.09,Support,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,253.0,5.537334267018537,5.87493073085203
91Trucks,1,False,2026-06-22,2026-06-22,0,,,100.0,100.0,100.0,0.7,0.7,0.7,Transportation,Travel & Transportation,Series A,Early Venture (Series A),India,Asia-Pacific,5.0,1.791759469228055,4.61512051684126
98point6,2,True,2022-07-21,2024-04-23,642,642.0,642.0,,,,0.1,0.1,0.1,Healthcare,Healthcare & BioTech,Acquired,Acquired / Subsidiary,United States,North America,299.0,5.703782474656201,
99,1,False,2022-09-20,2022-09-20,0,,,75.0,75.0,75.0,0.02,0.02,0.02,Transportation,Travel & Transportation,Acquired,Acquired / Subsidiary,Brazil,Latin America,244.0,5.501258210544727,4.330733340286331
ABBYY,1,False,2024-10-01,2024-10-01,0,,,200.0,200.0,200.0,,,,Data,Enterprise & Infrastructure,Unknown,Unspecified / Private,Cyprus,Other / International,6.0,1.9459101490553132,5.303304908059076
ABL,1,False,2024-09-03,2024-09-03,0,,,,,,,,,Aerospace,Hardware & Manufacturing,Unknown,Unspecified / Private,United States,North America,479.0,6.173786103901937,
ADP,1,False,2026-06-26,2026-06-26,0,,,76.0,76.0,76.0,,,,HR,Other / Diversified,Post-IPO,Public (Post-IPO),United States,North America,,,4.343805421853684
AEye,1,False,2023-03-28,2023-03-28,0,,,46.0,46.0,46.0,0.33,0.33,0.33,Transportation,Travel & Transportation,Post-IPO,Public (Post-IPO),United States,North America,314.0,5.752572638825633,3.8501476017100584
AI Fleet,1,False,2025-11-13,2025-11-13,0,,,,,,,,,Transportation,Travel & Transportation,Series B,Expansion Stage (Series B),United States,North America,56.0,4.04305126783455,
AI21 Labs,1,False,2026-05-18,2026-05-18,0,,,110.0,110.0,110.0,0.61,0.61,0.61,AI,Other / Diversified,Series D,Late Stage (Series C-D),Israel,Middle East,626.0,6.440946540632921,4.709530201312334
ALI Technologies,1,False,2024-01-16,2024-01-16,0,,,,,,1.0,1.0,1.0,Transportation,Travel & Transportation,Unknown,Unspecified / Private,Japan,Asia-Pacific,,,
AMD,1,False,2024-11-13,2024-11-13,0,,,1000.0,1000.0,1000.0,0.04,0.04,0.04,Hardware,Hardware & Manufacturing,Post-IPO,Public (Post-IPO),United States,North America,,,6.90875477931522
ANS Commerce,1,False,2025-03-02,2025-03-02,0,,,,,,1.0,1.0,1.0,Retail,Consumer & Retail,Acquired,Acquired / Subsidiary,India,Asia-Pacific,2.0,1.0986122886681098,
ASML,1,False,2026-01-28,2026-01-28,0,,,1700.0,1700.0,1700.0,,,,Hardware,Hardware & Manufacturing,Post-IPO,Public (Post-IPO),Netherlands,Europe,,,7.438971592395862
AU10TIX,1,False,2023-01-31,2023-01-31,0,,,19.0,19.0,19.0,0.09,0.09,0.09,Security,Enterprise & Infrastructure,Unknown,Unspecified / Private,Israel,Middle East,80.0,4.394449154672439,2.995732273553991
Aakash,1,False,2024-09-18,2024-09-18,0,,,80.0,80.0,80.0,,,,Education,EdTech & Learning,Acquired,Acquired / Subsidiary,India,Asia-Pacific,,,4.394449154672439
Abra,1,False,2022-06-30,2022-06-30,0,,,12.0,12.0,12.0,0.05,0.05,0.05,Crypto,Fintech & Financial Services,Series C,Late Stage (Series C-D),United States,North America,106.0,4.672828834461906,2.5649493574615367
Absci,2,True,2022-08-09,2023-09-05,392,392.0,392.0,70.0,35.0,40.0,0.15,0.15,0.15,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,238.0,5.476463551931511,4.2626798770413155
Absolute Software,1,False,2023-04-06,2023-04-06,0,,,40.0,40.0,40.0,0.05,0.05,0.05,Security,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),Canada,North America,,,3.713572066704308
Acast,1,False,2022-09-15,2022-09-15,0,,,70.0,70.0,70.0,0.15,0.15,0.15,Media,Marketing & Media,Post-IPO,Public (Post-IPO),Sweden,Europe,126.0,4.844187086458591,4.2626798770413155
Accolade,1,False,2023-03-03,2023-03-03,0,,,,,,,,,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,458.0,6.129050210060545,
Acko,2,True,2020-04-01,2026-04-20,2210,2210.0,2210.0,105.0,52.5,60.0,0.07,0.07,0.09,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,India,Asia-Pacific,143.0,4.969813299576001,4.663439094112067
Acorns,1,False,2020-05-26,2020-05-26,0,,,50.0,50.0,50.0,,,,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,United States,North America,207.0,5.337538079701318,3.9318256327243257
Acronis,1,False,2023-10-11,2023-10-11,0,,,,,,,,,Security,Enterprise & Infrastructure,Private Equity,Private Equity Owned,Switzerland,Europe,658.0,6.490723534502507,
Actifio,1,False,2020-12-16,2020-12-16,0,,,54.0,54.0,54.0,,,,Data,Enterprise & Infrastructure,Acquired,Acquired / Subsidiary,United States,North America,352.0,5.8664680569332965,4.007333185232471
ActiveCampaign,1,False,2022-10-03,2022-10-03,0,,,,,,0.15,0.15,0.15,Marketing,Marketing & Media,Series C,Late Stage (Series C-D),United States,North America,360.0,5.8888779583328805,
ActiveFence,1,False,2025-03-13,2025-03-13,0,,,22.0,22.0,22.0,0.07,0.07,0.07,Security,Enterprise & Infrastructure,Series B,Expansion Stage (Series B),United States,North America,100.0,4.61512051684126,3.1354942159291497
Actyv.ai,1,False,2023-08-02,2023-08-02,0,,,,,,0.6,0.6,0.6,Finance,Fintech & Financial Services,Seed,Early Stage (Seed),India,Asia-Pacific,12.0,2.5649493574615367,
Acxiom,2,True,2023-04-11,2025-03-19,708,708.0,708.0,130.0,130.0,130.0,0.03,0.03,0.03,Marketing,Marketing & Media,Post-IPO,Public (Post-IPO),United States,North America,,,4.875197323201151
AdRoll,1,False,2020-03-31,2020-03-31,0,,,210.0,210.0,210.0,0.3,0.3,0.3,Marketing,Marketing & Media,Series C,Late Stage (Series C-D),United States,North America,89.0,4.499809670330265,5.351858133476067
Ada,2,True,2022-09-20,2023-02-01,134,134.0,134.0,78.0,78.0,78.0,0.16,0.16,0.16,Support,Enterprise & Infrastructure,Series C,Late Stage (Series C-D),Canada,North America,190.0,5.25227342804663,4.3694478524670215
Ada Health,1,False,2022-10-17,2022-10-17,0,,,50.0,50.0,50.0,,,,Healthcare,Healthcare & BioTech,Series B,Expansion Stage (Series B),Germany,Europe,189.0,5.247024072160486,3.9318256327243257
Ada Support,1,False,2020-04-24,2020-04-24,0,,,36.0,36.0,36.0,0.23,0.23,0.23,Support,Enterprise & Infrastructure,Series B,Expansion Stage (Series B),Canada,North America,60.0,4.110873864173311,3.6109179126442243
Adaptive Biotechnologies,1,False,2022-03-08,2022-03-08,0,,,100.0,100.0,100.0,0.12,0.12,0.12,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,406.0,6.008813185442595,4.61512051684126
Adara,1,False,2020-03-31,2020-03-31,0,,,,,,,,,Travel,Travel & Transportation,Series C,Late Stage (Series C-D),United States,North America,67.0,4.219507705176107,
Adda247,2,True,2023-10-14,2026-05-10,939,939.0,939.0,500.0,250.0,300.0,0.2,0.2,0.2,Education,EdTech & Learning,Series B,Expansion Stage (Series B),India,Asia-Pacific,61.0,4.127134385045092,6.2166061010848646
Addepar,1,False,2023-01-18,2023-01-18,0,,,20.0,20.0,20.0,0.03,0.03,0.03,Finance,Fintech & Financial Services,Series F,Growth Stage (Series E+),United States,North America,491.0,6.198478716492308,3.044522437723423
Addi,1,False,2022-06-14,2022-06-14,0,,,,,,,,,Finance,Fintech & Financial Services,Series C,Late Stage (Series C-D),Colombia,Latin America,376.0,5.932245187448011,
Adjust,1,False,2024-11-22,2024-11-22,0,,,304.0,304.0,304.0,,,,Marketing,Marketing & Media,Acquired,Acquired / Subsidiary,Germany,Europe,256.0,5.54907608489522,5.720311776607412
Adobe,1,False,2022-12-06,2022-12-06,0,,,100.0,100.0,100.0,,,,Marketing,Marketing & Media,Post-IPO,Public (Post-IPO),United States,North America,2.0,1.0986122886681098,4.61512051684126
Advata,1,False,2022-10-28,2022-10-28,0,,,32.0,32.0,32.0,0.21,0.21,0.21,Healthcare,Healthcare & BioTech,Unknown,Unspecified / Private,United States,North America,,,3.4965075614664802
Advisor Credit Exchange,1,False,2025-01-14,2025-01-14,0,,,,,,1.0,1.0,1.0,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,United States,North America,31.0,3.4657359027997265,
